Zip Code,City,Province,Country
933,SAN JUAN,Puerto Rico,USA
934,FORT BUCHANAN,Puerto Rico,USA
935,SAN JUAN,Puerto Rico,USA
936,OLD SAN JUAN,Puerto Rico,USA
936,MINILLAS,Puerto Rico,USA
936,RIO PIEDRAS,Puerto Rico,USA
936,BARRIO OBRERO,Puerto Rico,USA
936,CAPARRA,Puerto Rico,USA
936,CUPEY,Puerto Rico,USA
936,SAN JUAN,Puerto Rico,USA
936,SAN JOSE,Puerto Rico,USA
936,SANTURCE,Puerto Rico,USA
937,SAN JUAN,Puerto Rico,USA
939,SAN JUAN,Puerto Rico,USA
940,MINILLAS,Puerto Rico,USA
940,SAN JUAN,Puerto Rico,USA
940,SANTURCE,Puerto Rico,USA
949,LEVITTOWN,Puerto Rico,USA
949,TOA BAJA,Puerto Rico,USA
950,TOA BAJA,Puerto Rico,USA
951,TOA BAJA,Puerto Rico,USA
952,SABANA SECA,Puerto Rico,USA
953,TOA ALTA,Puerto Rico,USA
954,TOA ALTA,Puerto Rico,USA
955,SAN JUAN,Puerto Rico,USA
956,BAYAMON,Puerto Rico,USA
957,BAYAMON,Puerto Rico,USA
958,BAYAMON,Puerto Rico,USA
959,BAYAMON,Puerto Rico,USA
960,BAYAMON,Puerto Rico,USA
961,BAYAMON,Puerto Rico,USA
962,CATANO,Puerto Rico,USA
963,CATANO,Puerto Rico,USA
965,GUAYNABO,Puerto Rico,USA
966,GUAYNABO,Puerto Rico,USA
968,GUAYNABO,Puerto Rico,USA
969,GUAYNABO,Puerto Rico,USA
970,GUAYNABO,Puerto Rico,USA
971,GUAYNABO,Puerto Rico,USA
975,SAN JUAN,Puerto Rico,USA
976,TRUJILLO,Puerto Rico,USA
976,TRUJILLO ALTO,Puerto Rico,USA
977,TRUJILLO ALTO,Puerto Rico,USA
977,TRUJILLO,Puerto Rico,USA
978,SAINT JUST,Puerto Rico,USA
979,CAROLINA,Puerto Rico,USA
981,CAROLINA,Puerto Rico,USA
982,CAROLINA,Puerto Rico,USA
983,CAROLINA,Puerto Rico,USA
984,CAROLINA,Puerto Rico,USA
985,CAROLINA,Puerto Rico,USA
986,CAROLINA,Puerto Rico,USA
987,CAROLINA,Puerto Rico,USA
988,CAROLINA,Puerto Rico,USA
1001,AGAWAM,Massachusetts,USA
1002,CUSHMAN,Massachusetts,USA
1002,AMHERST,Massachusetts,USA
1002,PELHAM,Massachusetts,USA
1003,AMHERST,Massachusetts,USA
1004,AMHERST,Massachusetts,USA
1005,BARRE,Massachusetts,USA
1007,BELCHERTOWN,Massachusetts,USA
1008,BLANDFORD,Massachusetts,USA
1009,BONDSVILLE,Massachusetts,USA
1010,BRIMFIELD,Massachusetts,USA
1011,CHESTER,Massachusetts,USA
1012,CHESTERFIELD,Massachusetts,USA
1013,CHICOPEE,Massachusetts,USA
1013,WILLIMANSETT,Massachusetts,USA
1014,CHICOPEE,Massachusetts,USA
1020,CHICOPEE,Massachusetts,USA
1021,CHICOPEE,Massachusetts,USA
1022,WESTOVER AFB,Massachusetts,USA
1022,CHICOPEE,Massachusetts,USA
1026,CUMMINGTON,Massachusetts,USA
1027,E HAMPTON,Massachusetts,USA
1027,MOUNT TOM,Massachusetts,USA
1027,EASTHAMPTON,Massachusetts,USA
1027,WESTHAMPTON,Massachusetts,USA
1028,EAST LONGMEADOW,Massachusetts,USA
1028,E LONGMEADOW,Massachusetts,USA
1029,EAST OTIS,Massachusetts,USA
1030,FEEDING HILLS,Massachusetts,USA
1031,GILBERTVILLE,Massachusetts,USA
1032,GOSHEN,Massachusetts,USA
1033,GRANBY,Massachusetts,USA
1034,TOLLAND,Massachusetts,USA
1034,GRANVILLE,Massachusetts,USA
1035,HADLEY,Massachusetts,USA
1036,HAMPDEN,Massachusetts,USA
1037,HARDWICK,Massachusetts,USA
1038,HATFIELD,Massachusetts,USA
1039,HAYDENVILLE,Massachusetts,USA
1039,WEST WHATELY,Massachusetts,USA
1040,HOLYOKE,Massachusetts,USA
1041,HOLYOKE,Massachusetts,USA
1050,HUNTINGTON,Massachusetts,USA
1050,MONTGOMERY,Massachusetts,USA
1053,LEEDS,Massachusetts,USA
1054,LEVERETT,Massachusetts,USA
1056,LUDLOW,Massachusetts,USA
1057,MONSON,Massachusetts,USA
1059,NORTH AMHERST,Massachusetts,USA
1059,AMHERST,Massachusetts,USA
1060,NORTHAMPTON,Massachusetts,USA
1061,NORTHAMPTON,Massachusetts,USA
1062,BAY STATE VILLAGE,Massachusetts,USA
1062,BAY STATE VLG,Massachusetts,USA
1062,FLORENCE,Massachusetts,USA
1062,NORTHAMPTON,Massachusetts,USA
1063,NORTHAMPTON,Massachusetts,USA
1066,NORTH HATFIELD,Massachusetts,USA
1066,N HATFIELD,Massachusetts,USA
1068,OAKHAM,Massachusetts,USA
1069,PALMER,Massachusetts,USA
1070,PLAINFIELD,Massachusetts,USA
1071,RUSSELL,Massachusetts,USA
1072,SHUTESBURY,Massachusetts,USA
1073,SOUTHAMPTON,Massachusetts,USA
1074,SOUTH BARRE,Massachusetts,USA
1075,SOUTH HADLEY,Massachusetts,USA
1077,SOUTHWICK,Massachusetts,USA
1079,THORNDIKE,Massachusetts,USA
1080,THREE RIVERS,Massachusetts,USA
1081,WALES,Massachusetts,USA
1082,HARDWICK,Massachusetts,USA
1082,WARE,Massachusetts,USA
1083,WARREN,Massachusetts,USA
1084,WEST CHESTERFIELD,Massachusetts,USA
1084,W CHESTERFLD,Massachusetts,USA
1085,MONTGOMERY,Massachusetts,USA
1085,WESTFIELD,Massachusetts,USA
1086,WESTFIELD,Massachusetts,USA
1088,W HATFIELD,Massachusetts,USA
1088,WEST HATFIELD,Massachusetts,USA
1089,WEST SPRINGFIELD,Massachusetts,USA
1089,W SPRINGFIELD,Massachusetts,USA
1090,WEST SPRINGFIELD,Massachusetts,USA
1090,W SPRINGFIELD,Massachusetts,USA
1092,WEST WARREN,Massachusetts,USA
1093,WHATELY,Massachusetts,USA
1094,WHEELWRIGHT,Massachusetts,USA
1095,WILBRAHAM,Massachusetts,USA
1096,WILLIAMSBURG,Massachusetts,USA
1097,WORONOCO,Massachusetts,USA
1098,WORTHINGTON,Massachusetts,USA
1101,SPRINGFIELD,Massachusetts,USA
1102,SPRINGFIELD,Massachusetts,USA
1103,SPRINGFIELD,Massachusetts,USA
1104,SPRINGFIELD,Massachusetts,USA
1105,SPRINGFIELD,Massachusetts,USA
1106,LONGMEADOW,Massachusetts,USA
1106,SPRINGFIELD,Massachusetts,USA
1107,SPRINGFIELD,Massachusetts,USA
1108,SPRINGFIELD,Massachusetts,USA
1109,SPRINGFIELD,Massachusetts,USA
1111,SPRINGFIELD,Massachusetts,USA
1115,SPRINGFIELD,Massachusetts,USA
1116,LONGMEADOW,Massachusetts,USA
1116,EAST LONGMEADOW,Massachusetts,USA
1116,E LONGMEADOW,Massachusetts,USA
1118,SPRINGFIELD,Massachusetts,USA
1119,SPRINGFIELD,Massachusetts,USA
1128,SPRINGFIELD,Massachusetts,USA
1129,SPRINGFIELD,Massachusetts,USA
1138,SPRINGFIELD,Massachusetts,USA
1139,SPRINGFIELD,Massachusetts,USA
1144,SPRINGFIELD,Massachusetts,USA
1151,SPRINGFIELD,Massachusetts,USA
1151,INDIAN ORCHARD,Massachusetts,USA
1151,INDIAN ORCH,Massachusetts,USA
1152,SPRINGFIELD,Massachusetts,USA
1199,SPRINGFIELD,Massachusetts,USA
1201,PITTSFIELD,Massachusetts,USA
1202,PITTSFIELD,Massachusetts,USA
1203,PITTSFIELD,Massachusetts,USA
1220,ADAMS,Massachusetts,USA
1222,ASHLEY FALLS,Massachusetts,USA
1223,BECKET,Massachusetts,USA
1223,WASHINGTON,Massachusetts,USA
1224,BERKSHIRE,Massachusetts,USA
1224,LANESBOROUGH,Massachusetts,USA
1225,CHESHIRE,Massachusetts,USA
1226,DALTON,Massachusetts,USA
1227,DALTON,Massachusetts,USA
1229,GLENDALE,Massachusetts,USA
1230,N EGREMONT,Massachusetts,USA
1230,GT BARRINGTON,Massachusetts,USA
1230,EGREMONT,Massachusetts,USA
1230,NORTH EGREMONT,Massachusetts,USA
1230,NEW MARLBOROU,Massachusetts,USA
1230,GREAT BARRINGTON,Massachusetts,USA
1230,SIMONS ROCK,Massachusetts,USA
1230,NEW MARLBORO,Massachusetts,USA
1230,NEW MARLBOROUGH,Massachusetts,USA
1235,HINSDALE,Massachusetts,USA
1235,PERU,Massachusetts,USA
1236,HOUSATONIC,Massachusetts,USA
1237,NEW ASHFORD,Massachusetts,USA
1237,HANCOCK,Massachusetts,USA
1237,LANESBOROUGH,Massachusetts,USA
1238,LEE,Massachusetts,USA
1240,LENOX,Massachusetts,USA
1242,LENOX DALE,Massachusetts,USA
1243,MIDDLEFIELD,Massachusetts,USA
1244,MILL RIVER,Massachusetts,USA
1245,WEST OTIS,Massachusetts,USA
1245,MONTEREY,Massachusetts,USA
1247,NORTH ADAMS,Massachusetts,USA
1247,FLORIDA,Massachusetts,USA
1247,CLARKSBURG,Massachusetts,USA
1252,N EGREMONT,Massachusetts,USA
1252,NORTH EGREMONT,Massachusetts,USA
1253,OTIS,Massachusetts,USA
1254,RICHMOND,Massachusetts,USA
1255,SANDISFIELD,Massachusetts,USA
1256,SAVOY,Massachusetts,USA
1257,SHEFFIELD,Massachusetts,USA
1258,MT WASHINGTON,Massachusetts,USA
1258,S EGREMONT,Massachusetts,USA
1258,SOUTH EGREMONT,Massachusetts,USA
1258,MOUNT WASHINGTON,Massachusetts,USA
1259,SOUTHFIELD,Massachusetts,USA
1260,SOUTH LEE,Massachusetts,USA
1262,STOCKBRIDGE,Massachusetts,USA
1263,STOCKBRIDGE,Massachusetts,USA
1264,TYRINGHAM,Massachusetts,USA
1264,LEE,Massachusetts,USA
1266,ALFORD,Massachusetts,USA
1266,WEST STOCKBRIDGE,Massachusetts,USA
1266,W STOCKBRIDGE,Massachusetts,USA
1267,WILLIAMSTOWN,Massachusetts,USA
1270,WINDSOR,Massachusetts,USA
1301,GREENFIELD,Massachusetts,USA
1301,LEYDEN,Massachusetts,USA
1302,GREENFIELD,Massachusetts,USA
1330,ASHFIELD,Massachusetts,USA
1331,ATHOL,Massachusetts,USA
1331,PHILLIPSTON,Massachusetts,USA
1337,BERNARDSTON,Massachusetts,USA
1337,LEYDEN,Massachusetts,USA
1338,BUCKLAND,Massachusetts,USA
1339,HAWLEY,Massachusetts,USA
1339,CHARLEMONT,Massachusetts,USA
1340,COLRAIN,Massachusetts,USA
1340,SHATTUCKVILLE,Massachusetts,USA
1341,CONWAY,Massachusetts,USA
1342,DEERFIELD,Massachusetts,USA
1343,DRURY,Massachusetts,USA
1344,ERVING,Massachusetts,USA
1346,CHARLEMONT,Massachusetts,USA
1346,HEATH,Massachusetts,USA
1347,LAKE PLEASANT,Massachusetts,USA
1349,MILLERS FALLS,Massachusetts,USA
1350,MONROE,Massachusetts,USA
1350,MONROE BRIDGE,Massachusetts,USA
1351,MONTAGUE,Massachusetts,USA
1354,MOUNT HERMON,Massachusetts,USA
1354,GILL,Massachusetts,USA
1354,MT HERMON,Massachusetts,USA
1354,NORTHFIELD MOUNT HERMON,Massachusetts,USA
1354,NORTHFIELD MT HERMON,Massachusetts,USA
1355,NEW SALEM,Massachusetts,USA
1360,NORTHFIELD,Massachusetts,USA
1364,ORANGE,Massachusetts,USA
1364,WARWICK,Massachusetts,USA
1366,PETERSHAM,Massachusetts,USA
1367,ROWE,Massachusetts,USA
1368,ROYALSTON,Massachusetts,USA
1368,S ROYALSTON,Massachusetts,USA
1370,SHELBURNE FALLS,Massachusetts,USA
1370,SHELBURNE FLS,Massachusetts,USA
1373,S DEERFIELD,Massachusetts,USA
1373,SOUTH DEERFIELD,Massachusetts,USA
1375,SUNDERLAND,Massachusetts,USA
1376,TURNERS FALLS,Massachusetts,USA
1378,WARWICK,Massachusetts,USA
1378,ORANGE,Massachusetts,USA
1379,WENDELL,Massachusetts,USA
1380,WENDELL DEPOT,Massachusetts,USA
1420,FITCHBURG,Massachusetts,USA
1430,ASHBURNHAM,Massachusetts,USA
1431,ASHBY,Massachusetts,USA
1432,AYER,Massachusetts,USA
1434,DEVENS,Massachusetts,USA
1434,AYER,Massachusetts,USA
1436,BALDWINVILLE,Massachusetts,USA
1438,E TEMPLETON,Massachusetts,USA
1438,EAST TEMPLETON,Massachusetts,USA
1440,GARDNER,Massachusetts,USA
1441,WESTMINSTER,Massachusetts,USA
1450,GROTON,Massachusetts,USA
1451,HARVARD,Massachusetts,USA
1452,HUBBARDSTON,Massachusetts,USA
1453,LEOMINSTER,Massachusetts,USA
1460,LITTLETON,Massachusetts,USA
1462,LUNENBURG,Massachusetts,USA
1463,PEPPERELL,Massachusetts,USA
1464,SHIRLEY,Massachusetts,USA
1464,SHIRLEY CENTER,Massachusetts,USA
1464,SHIRLEY CTR,Massachusetts,USA
1467,STILL RIVER,Massachusetts,USA
1468,TEMPLETON,Massachusetts,USA
1469,TOWNSEND,Massachusetts,USA
1470,GROTON,Massachusetts,USA
1471,GROTON,Massachusetts,USA
1472,WEST GROTON,Massachusetts,USA
1473,WESTMINSTER,Massachusetts,USA
1474,TOWNSEND,Massachusetts,USA
1474,W TOWNSEND,Massachusetts,USA
1474,WEST TOWNSEND,Massachusetts,USA
1475,WINCHENDON,Massachusetts,USA
1501,AUBURN,Massachusetts,USA
1503,BERLIN,Massachusetts,USA
1504,BLACKSTONE,Massachusetts,USA
1505,BOYLSTON,Massachusetts,USA
1506,BROOKFIELD,Massachusetts,USA
1507,CHARLTON,Massachusetts,USA
1508,CHARLTON CITY,Massachusetts,USA
1509,CHARLTON DPT,Massachusetts,USA
1509,CHARLTON DEPT,Massachusetts,USA
1509,CHARLTON DEPOT,Massachusetts,USA
1510,CLINTON,Massachusetts,USA
1515,EAST BROOKFIELD,Massachusetts,USA
1515,E BROOKFIELD,Massachusetts,USA
1516,DOUGLAS,Massachusetts,USA
1516,EAST DOUGLAS,Massachusetts,USA
1518,FISKDALE,Massachusetts,USA
1518,STURBRIDGE,Massachusetts,USA
1519,GRAFTON,Massachusetts,USA
1520,HOLDEN,Massachusetts,USA
1521,FISKDALE,Massachusetts,USA
1521,HOLLAND,Massachusetts,USA
1522,JEFFERSON,Massachusetts,USA
1523,LANCASTER,Massachusetts,USA
1524,LEICESTER,Massachusetts,USA
1525,LINWOOD,Massachusetts,USA
1526,MANCHAUG,Massachusetts,USA
1527,MILLBURY,Massachusetts,USA
1529,MILLVILLE,Massachusetts,USA
1531,NEW BRAINTREE,Massachusetts,USA
1532,NORTHBOROUGH,Massachusetts,USA
1534,NORTHBRIDGE,Massachusetts,USA
1535,N BROOKFIELD,Massachusetts,USA
1535,NORTH BROOKFIELD,Massachusetts,USA
1536,NORTH GRAFTON,Massachusetts,USA
1537,NORTH OXFORD,Massachusetts,USA
1538,N UXBRIDGE,Massachusetts,USA
1538,NORTH UXBRIDGE,Massachusetts,USA
1540,OXFORD,Massachusetts,USA
1541,PRINCETON,Massachusetts,USA
1542,ROCHDALE,Massachusetts,USA
1543,RUTLAND,Massachusetts,USA
1545,SHREWSBURY,Massachusetts,USA
1546,SHREWSBURY,Massachusetts,USA
1550,SOUTHBRIDGE,Massachusetts,USA
1560,SOUTH GRAFTON,Massachusetts,USA
1561,S LANCASTER,Massachusetts,USA
1561,SOUTH LANCASTER,Massachusetts,USA
1562,SPENCER,Massachusetts,USA
1564,STERLING,Massachusetts,USA
1566,STURBRIDGE,Massachusetts,USA
1568,UPTON,Massachusetts,USA
1569,UXBRIDGE,Massachusetts,USA
1570,WEBSTER,Massachusetts,USA
1570,DUDLEY HILL,Massachusetts,USA
1571,DUDLEY,Massachusetts,USA
1581,WESTBOROUGH,Massachusetts,USA
1583,WEST BOYLSTON,Massachusetts,USA
1585,WEST BROOKFIELD,Massachusetts,USA
1585,W BROOKFIELD,Massachusetts,USA
1586,WEST MILLBURY,Massachusetts,USA
1586,MILLBURY,Massachusetts,USA
1588,WHITINSVILLE,Massachusetts,USA
1590,WILKINSONVILLE,Massachusetts,USA
1590,SUTTON,Massachusetts,USA
1590,WILKINSONVILE,Massachusetts,USA
1601,WORCESTER,Massachusetts,USA
1602,WORCESTER,Massachusetts,USA
1603,WORCESTER,Massachusetts,USA
1604,WORCESTER,Massachusetts,USA
1605,WORCESTER,Massachusetts,USA
1606,WORCESTER,Massachusetts,USA
1607,WORCESTER,Massachusetts,USA
1608,WORCESTER,Massachusetts,USA
1609,WORCESTER,Massachusetts,USA
1610,WORCESTER,Massachusetts,USA
1611,CHERRY VALLEY,Massachusetts,USA
1612,PAXTON,Massachusetts,USA
1612,WORCESTER,Massachusetts,USA
1613,WORCESTER,Massachusetts,USA
1614,WORCESTER,Massachusetts,USA
1615,WORCESTER,Massachusetts,USA
1653,WORCESTER,Massachusetts,USA
1655,WORCESTER,Massachusetts,USA
1701,FRAMINGHAM,Massachusetts,USA
1702,FRAMINGHAM,Massachusetts,USA
1703,FRAMINGHAM,Massachusetts,USA
1704,FRAMINGHAM,Massachusetts,USA
1705,FRAMINGHAM,Massachusetts,USA
1718,ACTON,Massachusetts,USA
1719,BOXBOROUGH,Massachusetts,USA
1719,BOXBORO,Massachusetts,USA
1719,ACTON,Massachusetts,USA
1720,ACTON,Massachusetts,USA
1721,ASHLAND,Massachusetts,USA
1730,BEDFORD,Massachusetts,USA
1731,BEDFORD,Massachusetts,USA
1731,HANSCOM AFB,Massachusetts,USA
1740,BOLTON,Massachusetts,USA
1741,CARLISLE,Massachusetts,USA
1742,CONCORD,Massachusetts,USA
1745,FAYVILLE,Massachusetts,USA
1745,SOUTHBOROUGH,Massachusetts,USA
1746,HOLLISTON,Massachusetts,USA
1747,HOPEDALE,Massachusetts,USA
1748,HOPKINTON,Massachusetts,USA
1749,HUDSON,Massachusetts,USA
1752,MARLBOROUGH,Massachusetts,USA
1754,MAYNARD,Massachusetts,USA
1756,MENDON,Massachusetts,USA
